Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;#UnaSolaVuelta #ArauzRabascall #ArauzPresidente #ARecuperarElFuturo;Sat Jan 30 22:04:15 +0000 2021;0;0;Quito, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:05:19 +0000 2021;104;115;Quito, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:05:35 +0000 2021;105;115;Guayaquil;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:05:58 +0000 2021;106;115;Guayaquil;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:06:06 +0000 2021;107;115;Guayaquil;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:06:31 +0000 2021;108;115;Guayaquil;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:07:02 +0000 2021;265;508;Guayaquil;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:07:27 +0000 2021;109;116;Guayaquil;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:07:38 +0000 2021;110;117;Guayaquil;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:08:05 +0000 2021;111;117;Guayaquil;
Andrés Arauz;RT @ecuarauz: Para su conocimiento, la propuesta que aparece tergiversada en la información que su medio publica se basa en una recomendaci…;Sat Jan 30 22:08:26 +0000 2021;315;645;Quito, Ecuador;
Andrés Arauz;RT @ecuadorenvivo: Consejero del #CNE pide suspensión de derechos políticos de #AndrésArauz por supuesta realización de pruebas de #coronav…;Sat Jan 30 22:08:36 +0000 2021;17;34;Quito, Ecuador;
Andrés Arauz;Intento Golpista y antidemocratico en Ecuador @LuisVerdesotoo1 la Comunidad Internacional atenta #ArauzRabascall… https://t.co/cMDzonBBwi;Sat Jan 30 22:08:43 +0000 2021;0;0;Quito, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:09:19 +0000 2021;266;509;Quito, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:09:19 +0000 2021;112;118;Ca�ar, Ecuador;
Andrés Arauz;Son cosas q no se deben dejar pasar;Sat Jan 30 22:09:41 +0000 2021;0;0;Ca�ar, Ecuador;
Andrés Arauz;"Y en sus ""cabezas torcidas"" se les ocurrirá cualquier estupidez,  y en  su desesperación lanzaran ""lodo"" a diestra… https://t.co/sKZE4GUcE1";Sat Jan 30 22:09:44 +0000 2021;0;0;Guayaquil, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:10:01 +0000 2021;267;509;Guayaquil, Ecuador;
