Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario)
Guillermo Lasso;@ProfesorYo De acuerdo con lo que dice Diego Flores no hay ningún criterio de humano en el país les gusta el odio.… https://t.co/V4UFGumYGF;Sun Jan 31 ;10;1;Guayaquil
Guillermo Lasso;"RT @MarcoAnibal: Voto por Araúz se compone:

1 Voto correísta para detener el desastre nacional

2 Voto no correísta para detener el desast…";Sun Jan 31 ;310;838;Guayaquil
Guillermo Lasso;@joselo681513 @Literario26 @NelFeRodSan @CarlaMaldonadoP @MauricioPozoEC @juanseroldan @alberto_dahik… https://t.co/ornrmVh0ko;Sun Jan 31 ;0;0;Guayaquil
Guillermo Lasso;RT @ETacle: Yo no soy seguidor de Guillermo Lasso,  pero, por mi país Ecuador,  por mi familia, por mis amigos, por toda la gente que conoz…;Tue Feb 02 ;741;2180;Guayaquil
Guillermo Lasso;"RT @MarcoAnibal: Voto por Araúz se compone:

1 Voto correísta para detener el desastre nacional

2 Voto no correísta para detener el desast…";Tue Feb 02 ;311;839;Guayaquil
Guillermo Lasso;@petrogustavo @Almagro_OEA2015 Posible golpe de estado en Ecuador, que señor tan mentiroso y falso. Las elecciones… https://t.co/UOGog2zRxA;Tue Feb 02 ;0;0;Guayaquil
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Tue Feb 02 ;45;74;Guayaquil
Guillermo Lasso;LASSO PRESIDENTE EN UNA SOLA VUELTA !!!!!!! ( No coma cuentos ). https://t.co/bwOcBKC4I1;Tue Feb 02 ;0;0;Guayaquil
Guillermo Lasso;"RT @FaustoCoboM3: @RevistaSemana Mientras LASSO propone fortalecer a FAMILIAS de SOLDADOS y POLICÍAS en su lucha contra la delincuencia; Re…";Tue Feb 02 ;2;6;Quito, Ecuador
Guillermo Lasso;"RT @PatricioJijonL1: Optimizar nuestro voto es un deber moral. Defender la democracia, las libertades, la dolarización; el objetivo central…";Tue Feb 02 ;87;177;Quito, Ecuador
Guillermo Lasso;RT @MashiRafael: Consejos para los trabajadores a los que los “patrones“ les quieren hacer votar por Lasso y los obligan a presentar la fot…;Tue Feb 02 ;390;657;Quito, Ecuador
Guillermo Lasso;"RT @FaustoCoboM3: @RevistaSemana Mientras LASSO propone fortalecer a FAMILIAS de SOLDADOS y POLICÍAS en su lucha contra la delincuencia; Re…";Tue Feb 02 ;3;6;Quito, Ecuador
Guillermo Lasso;@facho77 @JotacNarvaez @HEBARI85 @Guiller59925959 @LassoGuillermo El que sus aseveraciones no tengan ningún soporte… https://t.co/T20VfmiL8M;Tue Feb 02 ;0;0;Ca�ar, Ecuador
Guillermo Lasso;RT @IsaCardenasF: Lasso está muy muy lejos de ser el candidato de mi preferencia y estoy segura que si gana habrán otros problemas con los…;Tue Feb 02 ;9;48;Ca�ar, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @CuenteroMuisne Mientras LASSO propone fortalecer a la FUERZA PÚBLICA en su lucha contra la delincuencia, narcotráfico y…;Sun Jan 74;2;3;Guayaquil, Ecuador
Guillermo Lasso;RT @KELVINGAME3: LASSO PRESIDENTE EN UNA SOLA VUELTA!!! https://t.co/lficwdaef3;Sun Jan 75;31;58;Guayaquil, Ecuador
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Sun Jan 76;46;78;Guayaquil, Ecuador
Guillermo Lasso;RT @KELVINGAME3: LASSO PRESIDENTE EN UNA SOLA VUELTA !!!!!!! ( No coma cuentos ). https://t.co/bwOcBKC4I1;Sun Jan 77;1;0;Guayaquil, Ecuador
Guillermo Lasso;RT @ALBAMENDOZAPAR1: @CarlosVerareal POR ESO Y  CON MAS FUERZA LASSO PRESIDENTE 21-6;Sun Jan 78;2;7;Ca�ar, Ecuador
Guillermo Lasso;@jaimenebotsaadi @LassoGuillermo LASSO PRESIDENTE..;Sun Jan 79;0;0;Cotopaxi, Ecuador
