Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario)
Guillermo Lasso;RT @FaustoCoboM3: Mientras LASSO compromete firme respaldo a POLICÍAS y MILITARES en la lucha contra la delincuencia, narcotráfico y terror…;Fri Mar 05 ;170;340; El Oro, Ecuador
Guillermo Lasso;RT @ETacle: Yo quiero vivir y morir de viejo en mi Ecuador, no quiero ser expulsado de mi país por Lelo, correa y toda su banda comunista!…;Fri Mar 05 ;40;88; El Oro, Ecuador
Guillermo Lasso;@relicheandres @rabascallcarlos Ya saldrá toda la pipol del municipio de Guayaquil a apoyar en el cierre de campaña… https://t.co/E1FFbMrwyu;Fri Mar 05 ;0;1; El Oro, Ecuador
Guillermo Lasso;@LassoGuillermo Guillermo lasso nunca sera presidente rata igual q bucaram;Fri Mar 05 ;1;0; El Oro, Ecuador
Guillermo Lasso;@MorenaMia2020 @LassoGuillermo Jjajaja q excelente! Lasso presidente! Es la única opción;Fri Mar 05 ;0;1;Tunguragua,Ecuador
Guillermo Lasso;RT @VictorCREO: Una verdadera Vergüenza de Alvaro Noboa, pide votar por Arauz. Esto habla que él también es parte de esta secta criminal. N…;Fri Mar 05 ;3;3;Tunguragua,Ecuador
Guillermo Lasso;Increíble 🤣 re contra cínico;Fri Mar 05 ;0;2;Guayaquil
Guillermo Lasso;- Hola, quisiera hablarte de los beneficios de votar por Lasso para recuperar la libertad de expresión y pensamient… https://t.co/oyIavtDg4U;Fri Mar 05 ;1;2;Guayaquil
Guillermo Lasso;RT @ElRebeldeEc: Debo aclarar una vez más que no soy “Lassista” nunca lo he sido. Pero es el único candidato capaz y con posibilidades de d…;Fri Mar 05 ;340;1085;Guayaquil
Guillermo Lasso;@AndrsValarezo6 @Soylapaw Lasso Presidente una sola vuelta;Fri Mar 05 ;2;2;Tunguragua,Ecuador
Guillermo Lasso;RT @ElRebeldeEc: Debo aclarar una vez más que no soy “Lassista” nunca lo he sido. Pero es el único candidato capaz y con posibilidades de d…;Fri Mar 05 ;341;1085;Guayaquil, Ecuador
Guillermo Lasso;Hasta Bucaram les trata como los perros que son @luisevivanco @AnderssonBoscan;Fri Mar 05 ;1;2;Guayaquil, Ecuador
Guillermo Lasso;Y efectivamente es lo que puede suceder si la gente desperdicia su voto eligiendo a alguien que NO tiene oportunida… https://t.co/mtnVomVJ2X;Fri Mar 05 ;1;3;Guayaquil, Ecuador
Guillermo Lasso;"RT @CondorECUADOR: De buena fuente, con números claros y cifras duras...Pérez y Lasso en un empate técnico por el 2do puesto.
Si no hay nad…";Fri Mar 05 ;18;47;Tunguragua,Ecuador
Guillermo Lasso;RT @JohnAmezcua5: #Ecuador tiene que avanzar hacia un futuro donde haya trabajo y progreso. No dejemos que Lelo Arauz venga a engañarnos co…;Sat Mar 06 ;6;11;Tunguragua,Ecuador
Guillermo Lasso;RT @JohnAmezcua5: #Ecuador tiene que avanzar hacia un futuro donde haya trabajo y progreso. No dejemos que Lelo Arauz venga a engañarnos co…;Sat Mar 06 ;7;11;Tunguragua,Ecuador
Guillermo Lasso;No es cuento, y muchos ecuatorianos lo saben, por eso nunca sera presidente,;Sat Mar 06 ;3;3; El Oro, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: Mientras LASSO compromete firme respaldo a POLICÍAS y MILITARES en la lucha contra la delincuencia, narcotráfico y terror…;Sat Mar 06 ;171;341;Tunguragua,Ecuador
Guillermo Lasso;RT @finamunizaga: @AndrsValarezo6 @Soylapaw Lasso Presidente una sola vuelta;Sat Mar 06 ;1;2; El Oro, Ecuador
Guillermo Lasso;RT @Stevenneira: Y efectivamente es lo que puede suceder si la gente desperdicia su voto eligiendo a alguien que NO tiene oportunidades de…;Sat Mar 06 ;1;1;Tunguragua,Ecuador
Guillermo Lasso;RT @hijadeivan: Los que están pensando en votar por Hervas Romero Lucio y el resto q no tienen ninguna posibilidad en estas elecciones pien…;Sat Mar 06 ;320;774; El Oro, Ecuador
Guillermo Lasso;RT @finamunizaga: @AndrsValarezo6 @Soylapaw Lasso Presidente una sola vuelta;Sat Mar 06 ;2;3;Guayaquil, Ecuador
Guillermo Lasso;"RT @AndrsValarezo6: @LassoGuillermo
PRESIDENTE UNA SOLA VUELTA CON DON GUILLERMO LASSO
@KELVINGAME3
@DejemosM
@albert_luisin @joseivangargu…";Sun Mar 07;4;5;Tunguragua,Ecuador
Guillermo Lasso;RT @VictorCREO: Una verdadera Vergüenza de Alvaro Noboa, pide votar por Arauz. Esto habla que él también es parte de esta secta criminal. N…;Sun Mar 07;4;3;Tunguragua,Ecuador
Guillermo Lasso;"RT @ElRebeldeEc: Hora 25. Si después de ver la entrevista al candidato Guillermo Lasso,decides votar por él; déjame decirte que estás entre…";Sun Mar 07;76;273;Loja
Guillermo Lasso;"OFERTA DE LASSO AFECTARÍA AL SECTOR DE LA PRODUCCIÓN

Bruno Leone, presidente de la #CámaraNacionalPesquera, manife… https://t.co/oU4g4hawq6";Sun Mar 07;0;0;Tunguragua,Ecuador
Guillermo Lasso;@hijadeivan @seejaycuervo @luisevivanco Siiiii Lasso Presidente;Sun Mar 07;3;0;Loja
Guillermo Lasso;RT @VictorCREO: Una verdadera Vergüenza de Alvaro Noboa, pide votar por Arauz. Esto habla que él también es parte de esta secta criminal. N…;Sun Mar 07;5;3;Tunguragua,Ecuador
Guillermo Lasso;RT @FaustoCoboM3: LASSO es la PESADILLA de narco gobiernos del socialismo del siglo XXI que buscan PODER e IMPUNIDAD, comprando candidatos…;Sun Mar 07;242;552;Machala-El Oro-Ecuador
Guillermo Lasso;🇪🇨El Gobierno de #LassoEsMoreno cumplió al 100% la receta neoliberal, ecuatorianos, la derecha encabezada por… https://t.co/TBnLvo5ea6;Sun Mar 07;5;0;Loja, Ecuador
Guillermo Lasso;"Da pesar que tanta gente diga que está indignada por la situación del país, que dicen ""votar por lo seguro"" (Lasso… https://t.co/fm6OQLa72m";Sun Mar 07;1;1;Tunguragua,Ecuador
Guillermo Lasso;Por tus hijos y por los míos , LASSO PRESIDENTE , démosle un futuro !;Sun Mar 07;6;1;Tunguragua,Ecuador
Guillermo Lasso;Guerra de encuestadoras 😂😂😂😂😂;Sun Mar 07;0;0;Tunguragua,Ecuador
Guillermo Lasso;RT @Stevenneira: Y efectivamente es lo que puede suceder si la gente desperdicia su voto eligiendo a alguien que NO tiene oportunidades de…;Sun Mar 07;2;3;Loja
Guillermo Lasso;@CarlosVerareal Estas elecciones DECIDIMOS entre dos modelos absolutamente opuestos: PROSPERIDAD que representa LAS… https://t.co/ddamCXQmo0;Sun Mar 07;0;1;Tunguragua,Ecuador
Guillermo Lasso;RT @VictorCREO: Una verdadera Vergüenza de Alvaro Noboa, pide votar por Arauz. Esto habla que él también es parte de esta secta criminal. N…;Sun Mar 07;6;3;Tunguragua,Ecuador
Guillermo Lasso;Es q no me entra en la cabeza que Arauz pueda llegar a ser presidente! Sentiría vergüenza q ese lelo sea el represe… https://t.co/ApmkLXaQXm;Mon Mar 08 ;10;0;Guayaquil
Guillermo Lasso;@migueltobarf Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de algunas diferencias,… https://t.co/G9rNca9W7O;Mon Mar 08 ;0;1;Tunguragua,Ecuador
Guillermo Lasso;@luisevivanco El ladronzuelo Correa está desesperado. No quiere dejar escapar la oportunidad de impunidad que le po… https://t.co/Ll4XWwazc6;Mon Mar 08 ;1;0;Pastaza,Ecuador
Guillermo Lasso;RT @hijadeivan: Los que están pensando en votar por Hervas Romero Lucio y el resto q no tienen ninguna posibilidad en estas elecciones pien…;Mon Mar 08 ;321;776;Pastaza,Ecuador
Guillermo Lasso;RT @FaustoCoboM3: Mientras LASSO compromete firme respaldo a POLICÍAS y MILITARES en la lucha contra la delincuencia, narcotráfico y terror…;Mon Mar 08 ;172;345;Pastaza,Ecuador
Guillermo Lasso;@migueltobarf LASSO PRESIDENTE. https://t.co/z39edY6mVb;Mon Mar 08 ;1;0;Pichincha, Ecuador
Guillermo Lasso;"RT @pencaladah: La gente debe decidir su voto en libertad, pero informados. 

Aunque no guste, solo 3 candidatos tienen opción de ganar. El…";Mon Mar 08 ;13;48;Pastaza,Ecuador
Guillermo Lasso;@LassoGuillermo @JuanPHidalgoC @MLAlcivar LASSO PRESIDENTE.  BENDICIONES;Mon Mar 08 ;1;0;Pichincha, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @CarlosVerareal Estas elecciones DECIDIMOS entre dos modelos absolutamente opuestos: PROSPERIDAD que representa LASSO, y…;Mon Mar 08 ;1;0;Pastaza,Ecuador
Guillermo Lasso;@eluniversocom @hugopinedap Estos últimos días de campaña, TODOS los de la orilla de la DECENCIA, a pesar de alguna… https://t.co/okxIEoiGr2;Mon Mar 08 ;0;2;Pastaza,Ecuador
Yaku Pérez;#ClaroQueSePuede https://t.co/qYMcXfCkZo;Thur Mar 04;0;0;Pichincha, Ecuador
Yaku Pérez;"RT @yakuperezg: Ecuador se convertirá en una potencia ecológica con una economía sostenible.

Conoce nuestra plan de trabajo completo: http…";Thur Mar 04;28;77;Guayaquil, Ecuador
Yaku Pérez;"RT @yakuperezg: ¿Creen que es justo que gastemos $979.665 dólares en sueldos vitalicios para presidentes y vicepresidentes?

El servir a la…";Thur Mar 04;31;126;Pichincha.Ecuador
Yaku Pérez;"RT @geovanni_atari: Gracias por el gran apoyo de Santo Domingo de los Tsáchilas 
#YakuPresidente 
#ClaroQueSePuede 
#GeovanniALaAsamblea ht…";Thur Mar 04;9;14;Pichincha.Ecuador
Yaku Pérez;"RT @MarceManosalvas: Futurama ya lo predijo...

Yaku Perez Guartambel Presidente

Inauguraremos la honestidad...

@yakuperezg
#YakuPresiden…";Thur Mar 04;12;12;Pichincha.Ecuador
Yaku Pérez;"RT @yakuperezg: ¿Creen que es justo que gastemos $979.665 dólares en sueldos vitalicios para presidentes y vicepresidentes?

El servir a la…";Thur Mar 04;32;129;Pichincha.Ecuador
Yaku Pérez;"RT @yakuperezg: ¿Creen que es justo que gastemos $979.665 dólares en sueldos vitalicios para presidentes y vicepresidentes?

El servir a la…";Thur Mar 04;33;129;Pichincha.Ecuador
Yaku Pérez;"RT @VAndresQuishpe: Y en esta recta final me llevo en cada recorrido el cariño de mi pueblo ♥️ mil gracias. @UnidadPopularUP

Lo demás póng…";Thur Mar 04;6;7;Zamora Chinchipe, Ecuador
Yaku Pérez;RT @pametroya: Propuesta 6: Leyes para sancionar el acoso y la violencia en el espacio digital: “Ley Olimpia” y “Ley Ingrid” 👉🏼 https://t.c…;Thur Mar 04;2;5;Zamora Chinchipe, Ecuador
Yaku Pérez;"RT @yakuperezg: ¿Creen que es justo que gastemos $979.665 dólares en sueldos vitalicios para presidentes y vicepresidentes?

El servir a la…";Thur Mar 04;34;133;Loja, Ecuador
Yaku Pérez;RT @yakuperezg: Juntos batallaremos por controlar el cambio climático, fomentaremos el consumo de productos que no provoquen polución para…;Fri Mar 05 ;8;20;Loja, Ecuador
Yaku Pérez;"RT @yakuperezg: ¿Creen que es justo que gastemos $979.665 dólares en sueldos vitalicios para presidentes y vicepresidentes?

El servir a la…";Fri Mar 05 ;35;134;Loja, Ecuador
Yaku Pérez;"¡Sin pretextos! Cambia el pero por el puedo AHORA
#ClaroQueSePuede ✌
#ManzanilloSomosTodos https://t.co/UBmlPivWfM";Fri Mar 05 ;35;20;Loja, Ecuador
Yaku Pérez;Lo repito Manzanillo por donde lo veamos es ESPECTACULAR, Manzanillo Somos Todos vamos por la Transformación de nue… https://t.co/bzGDPHjl5s;Fri Mar 05 ;35;20;Loja, Ecuador
Yaku Pérez;#ClaroQueSePuede ✌️🇻🇳 https://t.co/Z0omR81fkF;Fri Mar 05 ;35;20;Loja, Ecuador
Yaku Pérez;#ClaroQueSePuede ✌️🇻🇳 https://t.co/6YTJXHJsOt;Fri Mar 05 ;35;20;Loja, Ecuador
Yaku Pérez;https://t.co/aNxcFlRRZb;Fri Mar 05 ;35;20;Zamora Chinchipe, Ecuador
Yaku Pérez;https://t.co/4BYlBXB6Xi;Sat Mar 06 ;35;20;Zamora Chinchipe, Ecuador
Yaku Pérez;https://t.co/5G8fAQOdzm;Sat Mar 06 ;35;20;Zamora Chinchipe, Ecuador
Yaku Pérez;https://t.co/9CqXbihOFx;Sat Mar 06 ;35;20;Zamora Chinchipe, Ecuador
Yaku Pérez;https://t.co/jWz7RwqC2S;Sat Mar 06 ;35;20;Zamora Chinchipe, Ecuador
Yaku Pérez;https://t.co/WzS7Z7hDqD;Sat Mar 06 ;35;3;Zamora Chinchipe, Ecuador
Yaku Pérez;https://t.co/UZr4L2d4ls;Sat Mar 06 ;35;3;Zamora Chinchipe, Ecuador
Yaku Pérez;Cuanta sabiduría popular!!!!!  Este 7 de febrero vamos a inaugurar la honestidad #MinkaPorLaVida #YakuPresidente https://t.co/ohT2KCPcVv;Sat Mar 06 ;35;3;Zamora Chinchipe, Ecuador
Yaku Pérez;"⚖️💵 El dinero del pueblo es sagrado. Fiscalizaremos los recursos administrados por los gobiernos seccionales.
Este… https://t.co/noVkjWbvez";Sun Mar 07;0;3;Zamora Chinchipe, Ecuador
Yaku Pérez;RT @JRE_Ecuador: Los #EstudiantesALaAsamblea vamos a cambiar la historia del #Ecuador, y conseguir un futuro mejor para el país. Con Yaku,…;Sun Mar 07;2;3;Guayaquil
Yaku Pérez;"RT @geovanni_atari: #ClaroQueSePuede con la fuerza del pueblo decidido, cambiaremos el #Ecuador
#SoloElPuebloSalvaAlPueblo #YakuPresidente…";Sun Mar 07;3;1;Guayaquil
Yaku Pérez;"Clausura de la FSM #FSM2021 #WSF2021 https://t.co/hSEXAl2VK2 a través de @FacebookWatch #ClaroQueSePuede
Yaku Presi… https://t.co/tOe9mPf8UF";Sun Mar 07;5;2;Guayaquil
Yaku Pérez;"Clausura de la FSM #FSM2021 #WSF2021 https://t.co/hSEXAl2VK2 a través de @FacebookWatch #ClaroQueSePuede
Yaku Presi… https://t.co/tOe9mPf8UF";Sun Mar 07;1;3;Guayaquil
Yaku Pérez; comenzamos nuestra #MinkaPorLaVida;Sun Mar 07;1;0;Guayaquil
Yaku Pérez;"RT @yakuperezg: queremos un gobierno del pueblo para el pueblo! #Yaku #segunda

#ClaroQueSePuede
#YakuPresidente
#YakuEs https://t.co/oAyfHOZr…";Sun Mar 07;2;4;Guayaquil
Yaku Pérez;"RT @yakuperezg:injusticia tendremos un gobierno del pueblo para el pueblo!

#ClaroQueSePuede
#YakuPresidente
#YakuEs https://t.co/oAyfHOZr…";Sun Mar 07;3;5;Guayaquil
Yaku Pérez;"RT @yakuperezg: ¡En 7 días tendremos un gobierno del pueblo para el pueblo!

#ClaroQueSePuede
#YakuPresidente
#YakuEs https://t.co/oAyfHOZr…";Sun Mar 07;4;6;Guayaquil
Yaku Pérez;"Clausura de la FSM #FSM2021 #WSF2021 https://t.co/hSEXAl2VK2 a través de @FacebookWatch #ClaroQueSePuede
Yaku Presi… https://t.co/tOe9mPf8UF";Sun Mar 07;5;10;Guayaquil
Yaku Pérez;"Se necesita ""un Decreto presidencial"", el ahorro, para garantizar los pagos a los ""jubilados"".";Sun Mar 07;10;2;Pichincha, Ecuador
Yaku Pérez;La #MinkaPorLaVida se sello hoy en Cayambe..... #Yaku https://t.co/hrcO1rqrkQ;Sun Mar 07;0;1;Guayaquil-Ecuador
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
